name,email,dob
张三,zhangsan@example.com,1995-01-17
李四,lisi@example.com,1998-06-23
王五,wangwu@example.com,1992-12-08
赵六,zhaoliu@example.com,2000-03-15
钱七,qianqi@example.com,1988-09-30
孙八,sunba@example.com,1996-05-20
周九,zhoujiu@example.com,2001-11-11
吴十,wushi@example.com,1993-07-08
郑一,zhengyi@example.com,1997-04-25
王小明,wangxiaoming@example.com,2000-01-20
李华,lihua@example.com,1999-08-15
陈晨,chenchen@example.com,2002-02-14
刘洋,liuyang@example.com,1994-10-30
杨柳,yangliu@example.com,1991-03-08
黄华,huanghua@example.com,1989-12-25
林峰,linfeng@example.com,2003-06-01
周杰,zhoujie@example.com,1996-09-18
吴敏,wumin@example.com,1992-05-05
郑强,zhengqiang@example.com,1987-11-30
冯丽,fengli@example.com,2000-07-20
